,Unnamed: 0,word,sentiment,lexicon,score,part
686,687,ecstasy,positive,nrc,,NN
687,688,ecstatic,positive,nrc,,JJ
688,689,edification,positive,nrc,,NN
689,690,educate,positive,nrc,,NN
690,691,educated,positive,nrc,,VBN
691,692,educational,positive,nrc,,JJ
692,693,effective,positive,nrc,,JJ
693,694,efficacy,positive,nrc,,NN
694,695,efficiency,positive,nrc,,NN
695,696,efficient,positive,nrc,,NN
696,697,effort,positive,nrc,,NN
697,698,ejaculation,positive,nrc,,NN
698,699,elaboration,positive,nrc,,NN
699,700,elated,positive,nrc,,VBN
700,701,elder,positive,nrc,,NN
701,702,elders,positive,nrc,,NNS
702,703,elect,positive,nrc,,NN
703,704,electric,positive,nrc,,JJ
704,705,electricity,positive,nrc,,NN
705,706,elegance,positive,nrc,,NN
706,707,elegant,positive,nrc,,NN
707,708,elevation,positive,nrc,,NN
708,709,eligible,positive,nrc,,JJ
709,710,elite,positive,nrc,,NN
710,711,eloquence,positive,nrc,,NN
711,712,eloquent,positive,nrc,,NN
712,713,elucidate,positive,nrc,,NN
713,714,emancipation,positive,nrc,,NN
714,715,embrace,positive,nrc,,NN
715,716,emeritus,positive,nrc,,NN
716,717,eminence,positive,nrc,,NN
717,718,eminent,positive,nrc,,NN
718,719,eminently,positive,nrc,,RB
